2617,4.188,6.541,0,41,0
2745,17.684,22.435,0,106,7
9242,3.221,4.235,0,36,1
3827,17.743,24.411,0,103,6
5123,13.197,14.577,0,81,8
3618,2.511,3.579,0,23,1
3590,6.902,9.925,0,64,3
3637,2.761,3.797,0,39,1
3409,5.357,6.189,0,51,3
3485,6.859,8.177,0,48,4
4529,10.663,12.579,0,72,6
4910,3.251,4.216,0,40,2
2974,2.983,4.076,0,31,1
5440,36.845,50.273,0,212,9
5338,8.706,10.722,0,62,5
3336,3.81,5.038,0,40,2
3662,4.683,6.106,0,38,2
3550,18.829,28.264,0,140,6
6479,19.919,25.99,0,150,9
5521,48.652,72.148,0,300,9
4879,20.386,28.814,0,130,7
4416,11.493,15.15,0,117,5
4358,19.313,28.214,0,145,6
3966,3.414,4.399,0,27,2
6059,8.512,9.805,0,62,5
6336,5.247,6.386,0,41,3
4377,3.907,4.952,0,41,2
3515,8.551,10.937,0,62,4
6873,15.144,18.739,0,105,7
6680,4.306,5.177,0,48,3
3635,5.157,6.12,0,38,3
5359,6.21,7.051,0,50,4
2829,6.111,7.796,0,52,3
5492,11.689,14.941,0,94,6
7566,4.951,5.728,0,45,3
4587,8.736,11.798,0,77,4
2540,22.725,28.195,0,141,10
2974,27.505,41.566,0,189,7
6328,9.211,10.366,0,69,6
3280,7.687,8.69,0,52,5
5573,9.049,11.028,0,69,5
6245,38.935,58.588,0,277,8
5506,8.694,9.946,0,70,5
4968,7.28,9.504,0,55,4
7811,4.474,5.596,0,49,3
8133,42.946,63.563,0,298,11
4144,4.133,5.076,0,39,2
5948,13.204,17.334,0,106,6
3085,6.472,8.813,0,70,3
3269,10.903,14.979,0,99,5
7456,31.263,37.954,0,172,14
2821,3.688,5.3,0,40,1
1734,2.674,3.672,0,24,1
5528,4.136,5.333,0,41,2
4588,23.149,38.128,0,170,5
3376,6.307,8.736,0,53,3
3353,2.588,3.603,0,28,1
2858,6.675,9.215,0,52,3
2430,7.361,11.349,0,73,3
3675,10.181,15.523,0,101,4
2761,15.404,25.908,0,119,4
2452,2.996,4.161,0,33,1
5655,13.034,16.622,0,96,6
4456,6.762,8.464,0,45,4
3473,10.32,13.128,0,73,5
5271,12.742,16.91,0,109,5
8480,16.056,26.123,0,143,5
5592,5.078,6.23,0,53,3
4066,10.162,12.987,0,68,5
4352,10.625,14.504,0,84,5
5276,17.14,23.361,0,108,6
6144,6.826,9.223,0,68,3
7209,18.676,23.451,0,116,7
2968,2.957,4.149,0,38,1
7769,9.457,12.512,0,92,5
2895,8.668,11.061,0,67,4
2843,3.106,4.193,0,27,1
3377,10.21,13.697,0,95,5
2390,10.469,14.366,0,70,4
8824,52.965,63.33,0,264,17
4383,24.135,35.453,0,171,7
4064,5.438,6.622,0,43,3
3122,7.381,9.877,0,60,3
3324,7.262,9.338,0,49,4
2662,3.083,4.239,0,34,1
3810,5.217,6.628,0,56,3
3506,3.281,4.476,0,58,1
6910,21.706,26.456,0,121,10
4449,21.177,28.586,0,130,7
4633,3.452,4.408,0,35,2
13845,10.169,14.019,0,102,5
2976,3.896,4.811,0,34,2
2369,3.929,4.875,0,35,2
2454,3.536,5.231,0,37,1
2206,3.301,4.391,0,28,1
2642,16.038,19.653,0,96,7
3276,5.434,6.339,0,41,3
4337,14.086,17.956,0,88,6
2557,7.87,10.176,0,52,3
1667,5.426,6.726,0,37,3
5451,9.034,9.906,0,55,6
2312,6.864,8.97,0,47,3
3085,26.852,37.777,0,169,7
3506,3.261,4.224,0,28,1
3198,7.574,9.563,0,57,4
2771,8.514,10.801,0,62,4
5367,3.353,4.371,0,35,1
3739,6.182,7.744,0,46,3
3732,40.695,60.029,0,247,9
2742,17.189,25.633,0,118,5
4712,10.503,14.192,0,107,4
4343,28.785,40.757,0,177,8
9550,10.79,15.49,0,118,6
2647,19.866,31.122,0,154,6
2691,3.797,4.768,0,31,2
5853,43.365,51.453,0,202,17
6713,5.71,6.566,0,48,4
3137,6.707,9.185,0,53,3
2285,4.604,5.87,0,38,2
2659,3.959,4.905,0,31,2
8486,10.356,11.293,0,81,7
3951,15.057,20.261,0,108,6
2630,3.477,4.701,0,36,1
3329,19.291,31.402,0,160,5
9494,7.426,11.322,0,85,3
2330,5.793,8.064,0,47,3
5810,3.553,4.591,0,33,2
3011,16.952,24.024,0,120,6
5687,18.108,23.336,0,119,7
10860,7.956,12.551,0,87,3
11898,8.763,10.263,0,67,5
3000,10.291,13.923,0,79,4
2489,3.427,4.668,0,29,1
2992,3.251,4.679,0,37,1
7079,3.579,4.729,0,35,2
2369,11.817,17.775,0,96,4
